book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,book_idx
1,2767052,2767052,2792775,272,439023483,9780439023480.0,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,-0.22924319,1.4794283,-0.574,0.55360526,0.69482434,0.20553589,0.1039922,0.73934835,-0.39183655,-0.77546316,0.42376244,-0.57870144,0.63496,-0.2551233,0.7107393,-0.5929039,-0.8482925,0.68099076,0.5840632,-0.61660737,-0.45508724,-0.35654494,0.41411853,-0.31040698,0.6591479,-0.83859265,0.11917421,0.6711497,1.3692974,-0.28903323,0.6219334,0.7009351,0
2,3,3,4640799,491,439554934,9780439554930.0,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,-0.26841053,1.2311702,-0.69156814,0.65343326,0.760331,0.09662836,0.102232076,0.70755213,-0.6070616,-0.81435555,0.46566448,-0.68437433,0.61739886,-0.41066307,0.7238462,-0.6954725,-0.8345814,0.7339348,0.57929957,-0.7416893,-0.26340142,-0.3675613,0.4115529,-0.48614815,0.62863916,-0.87439364,0.25364524,0.65451473,0.9788723,-0.37129676,0.6624119,0.698169,1
3,41865,41865,3212258,226,316015849,9780316015840.0,Stephenie Meyer,2005.0,Twilight,"Twilight (Twilight, #1)",en-US,3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,-0.39527696,3.3119597,-0.31059426,0.4213285,0.37447298,0.38848832,0.26047653,0.5286741,-0.040422596,-0.64463884,0.22593978,-0.1848714,0.4036256,0.28016555,0.41962016,-0.40762278,-0.58053297,0.39525083,0.44726336,-0.36779016,-0.5793241,-0.26831767,0.12796573,-0.0429034,0.42555544,-0.5280217,-0.1903646,0.3580166,2.5674853,0.41349554,0.42374277,-0.38049436,2
4,2657,2657,3275794,487,61120081,9780061120080.0,Harper Lee,1960.0,To Kill a Mockingbird,To Kill a Mockingbird,eng,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,-0.155441,0.38300964,-0.6255902,0.6933509,0.6969689,0.06984871,-0.71586937,0.7640076,-0.81039524,-0.8179507,0.19973205,-0.6522279,0.7096461,-0.5718777,0.6888704,-0.60460365,-0.8932299,0.72717655,0.6549469,-0.6549245,-0.27057397,-0.67606175,0.7626041,-0.39534062,0.76729345,-0.8881557,0.4669853,0.7055733,-0.8503383,-0.6167244,0.7972382,-0.5226016,3
5,4671,4671,245494,1356,743273567,9780743273560.0,F. Scott Fitzgerald,1925.0,The Great Gatsby,The Great Gatsby,eng,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,-0.23549956,0.40891653,-0.5318099,0.53779066,0.6391359,0.10148278,-0.49702412,0.7558796,-0.5078097,-0.75410277,0.15844566,-0.53953934,0.6403228,-0.5064333,0.6112223,-0.5643609,-0.80372137,0.7599944,0.6041534,-0.62343305,-0.41272336,-0.6728829,0.57816774,-0.49444112,0.622044,-0.7907821,0.44133806,0.70278466,-1.4025856,-0.57372373,0.64722204,-0.4153524,4
6,11870085,11870085,16827462,226,525478817,9780525478810.0,John Green,2012.0,The Fault in Our Stars,The Fault in Our Stars,eng,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,-0.42550823,0.60435045,-0.5406765,0.54598975,0.6125789,0.33956152,0.37700516,0.61034626,0.09409734,-0.6650876,0.40842575,-0.52760875,0.61820567,-0.37196618,0.6247075,-0.570899,-0.7511336,0.5883543,0.5660303,-0.54999155,-0.5255564,-0.33544752,0.44734213,-0.4565997,0.6449754,-0.7724364,0.27235684,0.6521523,0.7402744,-0.4582768,0.58684134,0.1361722,5
7,5907,5907,1540236,969,618260307,9780618260300.0,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,The Hobbit,en-US,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,-0.25043336,-0.90304,-0.6191684,0.66843235,0.61639875,0.49408907,0.27581927,0.67616236,0.12120248,-0.77695876,0.6419492,-0.5659121,0.5860632,-0.5251497,0.6484792,-0.73408467,-0.787688,0.71654266,0.5721132,-0.68147415,-0.3401156,-0.5924944,0.57247597,-0.6098682,0.6408768,-0.78740364,0.41502216,0.65498847,-0.21445099,-0.44009402,0.6819814,0.15305531,6
8,5107,5107,3036731,360,316769177,9780316769170.0,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,-0.1313348,0.13072449,-0.55662566,0.51522475,0.6374746,0.14031969,-0.53938437,0.70396984,-0.45473924,-0.7096315,0.23980215,-0.5577861,0.5840468,-0.46812865,0.6446956,-0.5937226,-0.83219004,0.7096936,0.5869178,-0.5087583,-0.3936367,-0.7151518,0.63323617,-0.43517938,0.7204277,-0.777286,0.48451227,0.6009649,-1.5910121,-0.51061547,0.6710717,-0.5073543,7
9,960,960,3338963,311,1416524797,9781416524790.0,Dan Brown,2000.0,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,-0.20919864,1.5938762,-0.4711369,0.54727125,0.41759458,0.391288,0.26852956,0.5266578,0.11966085,-0.59894055,0.4297588,-0.48617733,0.43274713,-0.28587052,0.5376935,-0.599441,-0.64426386,0.5732954,0.5379861,-0.48449472,-0.33157074,-0.38782954,0.33057484,-0.42098936,0.5088409,-0.57314855,0.15311585,0.5065682,2.279179,-0.20779264,0.56624424,0.14311497,8
10,1885,1885,3060926,3455,679783261,9780679783270.0,Jane Austen,1813.0,Pride and Prejudice,Pride and Prejudice,eng,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,-0.47334787,1.0746516,-0.62012154,0.6121169,0.703003,0.24426626,-0.21412665,0.6662196,-0.4153159,-0.76747364,0.2083971,-0.6094161,0.70342094,-0.5031453,0.6733928,-0.5201521,-0.8066213,0.669648,0.64846104,-0.62997764,-0.38635933,-0.59529686,0.5876078,-0.45323747,0.72038585,-0.7751574,0.3903065,0.5822803,0.0045330194,-0.51639235,0.67308885,-0.23226853,9
